figure_id,Collection,Compartment,OMEROFigurelink,image,Flybase_ID,FlyBase link,Gene,Is RNA in MB neuropil?,Is protein in MB neuropil?_x,Is RNA in MB neuropil?,Is protein expressed in MB neuropil?,Is RNA in OL neuropil?_y,Is protein in OL neuropil?_y,Is RNA in NMJ axon?,Is protein in NMJ axon?,"Cell-specific transcription, CB?_x","Intercellular protein:RNA discordance, CB?_x","Cell-specific transcription, CB?_y","Intercellular protein:RNA discordance, CB?_y",Revise figure?,RNA expressed in CB?_x,Punctate CB?_x,RNA expressed in CB?_y,Protein expressedin CB?_y,Protein expressed in CB?_x,"Data interpretable, MB?_x","Data interpretable, CB?_y",Punctate in CB?_y,neurite_RNA_enrich,brain_RNAseq,brain_Syp_RIP_seq,CNS_Imp_RIP_seq,goAnnotation_x,goAnnotation_y
2138576,CPTI003250,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138576,2138576.png,FBgn0261090,http://flybase.org/reports/FBgn0261090,Sytbeta,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,both,yes,no,no,both,yes,yes,no,,980.6666667,634,907,calcium ion-regulated exocytosis of neurotransmitter;calcium-ion regulated exocytosis;cellular response to calcium ion;regulation of calcium ion-dependent exocytosis;regulation of dopamine secretion;synaptic vesicle exocytosis;vesicle-mediated transport,calcium ion-regulated exocytosis of neurotransmitter;calcium-ion regulated exocytosis;cellular response to calcium ion;regulation of calcium ion-dependent exocytosis;regulation of dopamine secretion;synaptic vesicle exocytosis;vesicle-mediated transport
2138926,CPTI003472,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138926,2138926.png,FBgn0261836,http://flybase.org/reports/FBgn0261836,Msp300,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,both,no,progeny,progeny,both,yes,yes,no,,44138.66667,39997,6642,"actin filament organization;cell migration;cytoplasmic transport, nurse cell to oocyte;cytoskeletal anchoring at nuclear membrane;endoplasmic reticulum localization;female germline ring canal stabilization;flight;larval visceral muscle development;locomotion;mesoderm development;microtubule anchoring;mitochondrion localization;nuclear migration;nucleus localization;nucleus organization;skeletal muscle tissue development","actin filament organization;cell migration;cytoplasmic transport, nurse cell to oocyte;cytoskeletal anchoring at nuclear membrane;endoplasmic reticulum localization;female germline ring canal stabilization;flight;larval visceral muscle development;locomotion;mesoderm development;microtubule anchoring;mitochondrion localization;nuclear migration;nucleus localization;nucleus organization;skeletal muscle tissue development"
2137984,CPTI003897,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137984,2137984.png,FBgn0011828,http://flybase.org/reports/FBgn0011828,Pxn,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,both,yes,progeny,progeny,both,yes,yes,yes,,1224.333333,460,346,basement membrane assembly;collagen fibril organization;extracellular matrix organization;oxidation-reduction process;phagocytosis;response to oxidative stress,basement membrane assembly;collagen fibril organization;extracellular matrix organization;oxidation-reduction process;phagocytosis;response to oxidative stress
2138376,CPTI003957,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138376,2138376.png,FBgn0036213,http://flybase.org/reports/FBgn0036213,RpL10Ab,yes,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,progeny,no,progeny,progeny,progeny,yes,yes,no,,5745,3584.666667,6571,cytoplasmic translation;maturation of LSU-rRNA;translation,cytoplasmic translation;maturation of LSU-rRNA;translation
2137778,CPTI003971,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137778,2137778.png,FBgn0016059,http://flybase.org/reports/FBgn0016059,Sema1b,yes,yes,yes,yes,no,no,no,no,,,no,no,no,,,both,both,,yes,,no,,2222,1209.666667,1128,axon guidance;embryonic development via the syncytial blastoderm;negative chemotaxis;negative regulation of axon extension involved in axon guidance;neural crest cell migration;positive regulation of cell migration;semaphorin-plexin signaling pathway,axon guidance;embryonic development via the syncytial blastoderm;negative chemotaxis;negative regulation of axon extension involved in axon guidance;neural crest cell migration;positive regulation of cell migration;semaphorin-plexin signaling pathway
2138724,CPTI004117,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138724,2138724.png,FBgn0262735,http://flybase.org/reports/FBgn0262735,,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,no,both,no,both,progeny,progeny,yes,yes,no,,,,,,
2138731,CPTI004179,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138731,2138731.png,FBgn0003261,http://flybase.org/reports/FBgn0003261,Rm62,yes,no,no,no,yes,no,no,no,no,no,no,no,no,both,yes,both,both,progeny,yes,yes,no,,28586,20886,9980,"RNA interference;mRNA splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome;regulation of defense response to virus","RNA interference;mRNA splicing, via spliceosome;regulation of alternative mRNA splicing, via spliceosome;regulation of defense response to virus"
2138839,CPTI004479,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138839,2138839.png,FBgn0264442,http://flybase.org/reports/FBgn0264442,ab,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,,1265.333333,1914,847,"axon choice point recognition;border follicle cell migration;dendrite morphogenesis;muscle attachment;mushroom body development;negative regulation of transcription by RNA polymerase II;regulation of imaginal disc-derived wing size;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated;sensory organ development;synaptic target recognition","axon choice point recognition;border follicle cell migration;dendrite morphogenesis;muscle attachment;mushroom body development;negative regulation of transcription by RNA polymerase II;regulation of imaginal disc-derived wing size;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated;sensory organ development;synaptic target recognition"
2138765,CPTI004519,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138765,2138765.png,FBgn0011206,http://flybase.org/reports/FBgn0011206,bol,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,both,no,both,no,both,yes,yes,no,,977.6666667,1848.333333,1508,3'-UTR-mediated mRNA stabilization;G2/MI transition of meiotic cell cycle;germ cell development;positive regulation of translational initiation;regulation of female receptivity;regulation of translation;spermatocyte division;spermatogenesis,3'-UTR-mediated mRNA stabilization;G2/MI transition of meiotic cell cycle;germ cell development;positive regulation of translational initiation;regulation of female receptivity;regulation of translation;spermatocyte division;spermatogenesis
2138408,CPTI100043,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138408,2138408.png,FBgn0023167,http://flybase.org/reports/FBgn0023167,SmD3,yes,no,no,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,416.3333333,664.6666667,737,"central nervous system development;lymph gland development;mRNA splicing, via spliceosome;mitotic cell cycle;muscle organ development;neuron differentiation;oogenesis;peripheral nervous system development;pole plasm oskar mRNA localization;spliceosomal snRNP assembly","central nervous system development;lymph gland development;mRNA splicing, via spliceosome;mitotic cell cycle;muscle organ development;neuron differentiation;oogenesis;peripheral nervous system development;pole plasm oskar mRNA localization;spliceosomal snRNP assembly"
2138506,CPTI100045,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138506,2138506.png,FBgn0020238,http://flybase.org/reports/FBgn0020238,14-3-3epsilon,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,40256,88024.33333,113835,DNA damage checkpoint;axon guidance;cytoplasmic sequestering of transcription factor;determination of adult lifespan;germarium-derived oocyte fate determination;imaginal disc development;mitotic cell cycle checkpoint;oocyte microtubule cytoskeleton polarization;pole cell migration;positive regulation of Ras protein signal transduction;positive regulation of growth;positive regulation of hippo signaling;regulation of growth;regulation of mitotic nuclear division;response to UV;response to radiation;wing disc dorsal/ventral pattern formation,DNA damage checkpoint;axon guidance;cytoplasmic sequestering of transcription factor;determination of adult lifespan;germarium-derived oocyte fate determination;imaginal disc development;mitotic cell cycle checkpoint;oocyte microtubule cytoskeleton polarization;pole cell migration;positive regulation of Ras protein signal transduction;positive regulation of growth;positive regulation of hippo signaling;regulation of growth;regulation of mitotic nuclear division;response to UV;response to radiation;wing disc dorsal/ventral pattern formation
2138622,CPTI100062,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138622,2138622.png,FBgn0261822,http://flybase.org/reports/FBgn0261822,Bsg,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,both,yes,both,both,both,yes,yes,no,,6254.666667,11094,18762,cell-cell adhesion;endoplasmic reticulum localization;mitochondrion localization;nucleus localization;photoreceptor cell morphogenesis;protein localization to plasma membrane;sarcomere organization,cell-cell adhesion;endoplasmic reticulum localization;mitochondrion localization;nucleus localization;photoreceptor cell morphogenesis;protein localization to plasma membrane;sarcomere organization
2137979,CPTI000031,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137979,2137979.png,FBgn0259984,http://flybase.org/reports/FBgn0259984,kuz,no,no,no,no,no,no,no,no,no,no,yes,no,no,both,no,both,both,both,yes,yes,no,,7530,10324.33333,3717,Notch receptor processing;Notch signaling pathway;axon guidance;border follicle cell migration;cardiocyte differentiation;central nervous system development;glial cell migration;heart morphogenesis;lymph gland development;membrane protein ectodomain proteolysis;muscle tissue development;neuroblast fate determination;oogenesis;pericardial nephrocyte differentiation;positive regulation of border follicle cell migration;regulation of Roundabout signaling pathway;regulation of axon extension;skeletal muscle tissue development;ventral cord development,Notch receptor processing;Notch signaling pathway;axon guidance;border follicle cell migration;cardiocyte differentiation;central nervous system development;glial cell migration;heart morphogenesis;lymph gland development;membrane protein ectodomain proteolysis;muscle tissue development;neuroblast fate determination;oogenesis;pericardial nephrocyte differentiation;positive regulation of border follicle cell migration;regulation of Roundabout signaling pathway;regulation of axon extension;skeletal muscle tissue development;ventral cord development
2138662,CPTI000033,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138662,2138662.png,FBgn0259244,http://flybase.org/reports/FBgn0259244,CG42342,no,yes,no,no,no,yes,no,no,yes,no,yes,no,yes,progeny,no,both,both,progeny,yes,yes,yes,,5241.666667,4610.666667,3070,extracellular matrix organization,extracellular matrix organization
2138545,CPTI000037,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138545,2138545.png,FBgn0003676,http://flybase.org/reports/FBgn0003676,CCT1,no,no,no,no,no,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,2415,1604,1793,ovarian follicle cell development;protein folding,ovarian follicle cell development;protein folding
2138910,CPTI000038,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138910,2138910.png,FBgn0015222,http://flybase.org/reports/FBgn0015222,Fer1HCH,no,no,no,no,no,yes,no,no,no,no,no,no,no,both,yes,both,both,both,yes,yes,yes,,3895.333333,4751.333333,12814,cellular iron ion homeostasis;detoxification of iron ion;iron ion import across plasma membrane;response to fungus,cellular iron ion homeostasis;detoxification of iron ion;iron ion import across plasma membrane;response to fungus
2138875,CPTI000077,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138875,2138875.png,FBgn0041210,http://flybase.org/reports/FBgn0041210,HDAC4,no,yes,no,yes,no,no,no,no,no,no,no,no,no,both,no,no,no,both,yes,yes,no,,2276,3625,1158,"cellular response to starvation;histone acetylation;histone deacetylation;insulin receptor signaling pathway;long-term memory;memory;positive regulation of DNA-binding transcription factor activity;regulation of transcription, DNA-templated","cellular response to starvation;histone acetylation;histone deacetylation;insulin receptor signaling pathway;long-term memory;memory;positive regulation of DNA-binding transcription factor activity;regulation of transcription, DNA-templated"
2138558,CPTI000091,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138558,2138558.png,FBgn0000721,http://flybase.org/reports/FBgn0000721,for,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,,938.3333333,751,258,feeding behavior;habituation;larval feeding behavior;larval locomotory behavior;long-term memory;motor neuron axon guidance;protein phosphorylation;regulation of heart contraction;regulation of response to food;response to sucrose;short-term memory,feeding behavior;habituation;larval feeding behavior;larval locomotory behavior;long-term memory;motor neuron axon guidance;protein phosphorylation;regulation of heart contraction;regulation of response to food;response to sucrose;short-term memory
2138036,CPTI000161,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138036,2138036.png,FBgn0041789,http://flybase.org/reports/FBgn0041789,Pax,no,no,no,no,no,no,no,no,,,no,no,no,,,both,both,,yes,,no,,1264.333333,770,1191,cytoskeletal anchoring at plasma membrane;dorsal appendage formation;leg disc development;regulation of GTPase activity;regulation of autophagy;regulation of myoblast fusion;wing disc development,cytoskeletal anchoring at plasma membrane;dorsal appendage formation;leg disc development;regulation of GTPase activity;regulation of autophagy;regulation of myoblast fusion;wing disc development
2138159,CPTI000194,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138159,2138159.png,FBgn0266579,http://flybase.org/reports/FBgn0266579,tau,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,2085.333333,2311,2985,microtubule cytoskeleton organization;negative regulation of neuron death;neuron projection development;rhabdomere morphogenesis,microtubule cytoskeleton organization;negative regulation of neuron death;neuron projection development;rhabdomere morphogenesis
2138278,CPTI000199,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138278,2138278.png,FBgn0022213,http://flybase.org/reports/FBgn0022213,Cse1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,,1435.333333,860,684,protein export from nucleus;protein import into nucleus,protein export from nucleus;protein import into nucleus
2137808,CPTI000207,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137808,2137808.png,FBgn0001624,http://flybase.org/reports/FBgn0001624,dlg1,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,7960.666667,10785,4840,"anterior/posterior axis specification, follicular epithelium;asymmetric protein localization involved in cell fate determination;basal protein localization;behavioral response to ethanol;cell fate commitment involved in pattern specification;cell fate specification;cell-cell adhesion;chemical synaptic transmission;dorsal closure;embryo development;establishment of mitotic spindle orientation;establishment of spindle orientation;establishment or maintenance of epithelial cell apical/basal polarity;establishment or maintenance of polarity of follicular epithelium;establishment or maintenance of polarity of larval imaginal disc epithelium;gravitaxis;locomotor rhythm;male courtship behavior;mating behavior;morphogenesis of a polarized epithelium;morphogenesis of follicular epithelium;morphogenesis of larval imaginal disc epithelium;negative regulation of imaginal disc growth;negative regulation of transcription by RNA polymerase II;nervous system development;ovarian follicle cell development;pole plasm protein localization;positive phototaxis;positive regulation of synaptic growth at neuromuscular junction;protein localization;receptor clustering;receptor localization to synapse;regulation of Notch signaling pathway;regulation of border follicle cell delamination;regulation of cell population proliferation;regulation of epidermal growth factor receptor signaling pathway;regulation of receptor signaling pathway via JAK-STAT;septate junction assembly;synaptic growth at neuromuscular junction","anterior/posterior axis specification, follicular epithelium;asymmetric protein localization involved in cell fate determination;basal protein localization;behavioral response to ethanol;cell fate commitment involved in pattern specification;cell fate specification;cell-cell adhesion;chemical synaptic transmission;dorsal closure;embryo development;establishment of mitotic spindle orientation;establishment of spindle orientation;establishment or maintenance of epithelial cell apical/basal polarity;establishment or maintenance of polarity of follicular epithelium;establishment or maintenance of polarity of larval imaginal disc epithelium;gravitaxis;locomotor rhythm;male courtship behavior;mating behavior;morphogenesis of a polarized epithelium;morphogenesis of follicular epithelium;morphogenesis of larval imaginal disc epithelium;negative regulation of imaginal disc growth;negative regulation of transcription by RNA polymerase II;nervous system development;ovarian follicle cell development;pole plasm protein localization;positive phototaxis;positive regulation of synaptic growth at neuromuscular junction;protein localization;receptor clustering;receptor localization to synapse;regulation of Notch signaling pathway;regulation of border follicle cell delamination;regulation of cell population proliferation;regulation of epidermal growth factor receptor signaling pathway;regulation of receptor signaling pathway via JAK-STAT;septate junction assembly;synaptic growth at neuromuscular junction"
2138535,CPTI000239,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138535,2138535.png,FBgn0263396,http://flybase.org/reports/FBgn0263396,sqd,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,both,no,both,progeny,progeny,yes,yes,no,,20033,54096.66667,75864,"RNA export from nucleus;dorsal/ventral axis specification, ovarian follicular epithelium;dorsal/ventral pattern formation;germarium-derived egg chamber formation;intracellular mRNA localization;mRNA export from nucleus;mRNA splicing, via spliceosome;negative regulation of RNA splicing;negative regulation of translation;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;oocyte anterior/posterior axis specification;oocyte localization involved in germarium-derived egg chamber formation;oocyte microtubule cytoskeleton organization;oogenesis;ovarian follicle cell migration;pole plasm mRNA localization;pole plasm oskar mRNA localization;regulation of RNA metabolic process;regulation of alternative mRNA splicing, via spliceosome","RNA export from nucleus;dorsal/ventral axis specification, ovarian follicular epithelium;dorsal/ventral pattern formation;germarium-derived egg chamber formation;intracellular mRNA localization;mRNA export from nucleus;mRNA splicing, via spliceosome;negative regulation of RNA splicing;negative regulation of translation;nuclear-transcribed mRNA catabolic process, nonsense-mediated decay;oocyte anterior/posterior axis specification;oocyte localization involved in germarium-derived egg chamber formation;oocyte microtubule cytoskeleton organization;oogenesis;ovarian follicle cell migration;pole plasm mRNA localization;pole plasm oskar mRNA localization;regulation of RNA metabolic process;regulation of alternative mRNA splicing, via spliceosome"
2138818,CPTI000252,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138818,2138818.png,FBgn0004839,http://flybase.org/reports/FBgn0004839,otk,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,both,no,both,both,both,yes,yes,no,,6675,2782.666667,3178,axis elongation;axon guidance;cell adhesion;establishment of planar polarity;imaginal disc-derived female genitalia morphogenesis;imaginal disc-derived male genitalia morphogenesis;internal genitalia morphogenesis;negative regulation of canonical Wnt signaling pathway;photoreceptor cell axon guidance;protein phosphorylation;retinal ganglion cell axon guidance,axis elongation;axon guidance;cell adhesion;establishment of planar polarity;imaginal disc-derived female genitalia morphogenesis;imaginal disc-derived male genitalia morphogenesis;internal genitalia morphogenesis;negative regulation of canonical Wnt signaling pathway;photoreceptor cell axon guidance;protein phosphorylation;retinal ganglion cell axon guidance
2138540,CPTI000263,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138540,2138540.png,FBgn0003459,http://flybase.org/reports/FBgn0003459,stwl,no,no,no,no,no,no,no,no,no,no,no,no,no,both,yes,both,both,both,yes,yes,yes,,510.6666667,520.6666667,249,"DNA protection;chromatin organization;female germ-line stem cell population maintenance;germ-line stem cell division;germ-line stem cell population maintenance;heterochromatin organization;larval lymph gland hemopoiesis;negative regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II","DNA protection;chromatin organization;female germ-line stem cell population maintenance;germ-line stem cell division;germ-line stem cell population maintenance;heterochromatin organization;larval lymph gland hemopoiesis;negative regulation of transcription, DNA-templated;regulation of transcription by RNA polymerase II"
2138329,CPTI000286,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138329,2138329.png,FBgn0032409,http://flybase.org/reports/FBgn0032409,Ced-12,no,yes,no,no,no,no,,,no,no,no,no,no,progeny,no,both,both,progeny,yes,yes,no,,583,356,506,"actin filament organization;activation of GTPase activity;border follicle cell migration;cell migration;central nervous system development;imaginal disc fusion, thorax closure;muscle attachment;myoblast fusion;positive regulation of JNK cascade;vascular endothelial growth factor receptor signaling pathway","actin filament organization;activation of GTPase activity;border follicle cell migration;cell migration;central nervous system development;imaginal disc fusion, thorax closure;muscle attachment;myoblast fusion;positive regulation of JNK cascade;vascular endothelial growth factor receptor signaling pathway"
2138706,CPTI000298,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138706,2138706.png,FBgn0027529,http://flybase.org/reports/FBgn0027529,tapas,no,no,no,no,no,no,no,no,no,no,no,no,no,both,no,no,no,both,yes,yes,no,,2078.333333,1034.333333,777,negative regulation of transposition;piRNA biosynthetic process,negative regulation of transposition;piRNA biosynthetic process
2138864,CPTI000318,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138864,2138864.png,FBgn0036165,http://flybase.org/reports/FBgn0036165,chrb,no,no,no,no,no,no,no,no,no,no,no,no,no,both,no,no,no,both,yes,yes,no,,8820.333333,31248.33333,12285,apoptotic process;cell death;head involution;negative regulation of growth;negative regulation of signal transduction;regulation of TOR signaling;response to oxidative stress,apoptotic process;cell death;head involution;negative regulation of growth;negative regulation of signal transduction;regulation of TOR signaling;response to oxidative stress
2138660,CPTI000326,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138660,2138660.png,FBgn0028343,http://flybase.org/reports/FBgn0028343,Ankle2,no,no,no,no,no,no,no,no,no,no,no,no,no,both,no,no,no,both,yes,yes,no,,2639,916.3333333,816,cell morphogenesis;mitotic nuclear envelope reassembly;negative regulation of phosphorylation;positive regulation of protein dephosphorylation,cell morphogenesis;mitotic nuclear envelope reassembly;negative regulation of phosphorylation;positive regulation of protein dephosphorylation
2138795,CPTI000332,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138795,2138795.png,FBgn0015513,http://flybase.org/reports/FBgn0015513,mbc,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,both,no,both,both,both,yes,yes,no,,2161.333333,1111.666667,364,"actin cytoskeleton organization;activation of GTPase activity;anterior Malpighian tubule development;border follicle cell migration;cell competition in a multicellular organism;cell morphogenesis;central nervous system development;cytoskeleton organization;dorsal closure;imaginal disc fusion, thorax closure;larval visceral muscle development;muscle attachment;myoblast fusion;positive regulation of JNK cascade;positive regulation of Rac protein signal transduction;positive regulation of border follicle cell migration;vascular endothelial growth factor receptor signaling pathway","actin cytoskeleton organization;activation of GTPase activity;anterior Malpighian tubule development;border follicle cell migration;cell competition in a multicellular organism;cell morphogenesis;central nervous system development;cytoskeleton organization;dorsal closure;imaginal disc fusion, thorax closure;larval visceral muscle development;muscle attachment;myoblast fusion;positive regulation of JNK cascade;positive regulation of Rac protein signal transduction;positive regulation of border follicle cell migration;vascular endothelial growth factor receptor signaling pathway"
2138392,CPTI000337,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138392,2138392.png,FBgn0021764,http://flybase.org/reports/FBgn0021764,sdk,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,,3691,1372.666667,436,compound eye cone cell differentiation;homophilic cell adhesion via plasma membrane adhesion molecules;negative regulation of photoreceptor cell differentiation;pigment cell differentiation,compound eye cone cell differentiation;homophilic cell adhesion via plasma membrane adhesion molecules;negative regulation of photoreceptor cell differentiation;pigment cell differentiation
2138616,CPTI000371,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138616,2138616.png,FBgn0011725,http://flybase.org/reports/FBgn0011725,twin,no,no,no,no,no,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,3045,4739.333333,3707,female germ-line stem cell asymmetric division;mRNA catabolic process;negative regulation of translation;nuclear-transcribed mRNA poly(A) tail shortening;oogenesis,female germ-line stem cell asymmetric division;mRNA catabolic process;negative regulation of translation;nuclear-transcribed mRNA poly(A) tail shortening;oogenesis
2138043,CPTI000379,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138043,2138043.png,FBgn0032298,http://flybase.org/reports/FBgn0032298,CG6724,no,no,no,no,no,yes,no,no,no,no,yes,no,no,both,no,both,both,both,yes,yes,no,,406,274.3333333,258,"maturation of 5.8S rRNA;maturation of LSU-rRNA;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","maturation of 5.8S rRNA;maturation of LSU-rRNA;maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
